1,900,51.667,48.333,3.106,1.512
2,1351,49.149,50.851,2.988,1.483
3,1984,49.345,50.655,3.045,1.474
4,2981,50.923,49.077,3.028,1.467
5,4430,48.758,51.242,2.93,1.471
6,6328,50.079,49.921,3.03,1.512
7,9571,50.193,49.807,2.977,1.487
8,14193,50.025,49.975,3.004,1.491
9,21310,49.653,50.347,2.995,1.479
10,31687,50.38,49.62,2.976,1.496
11,46787,49.933,50.067,3.018,1.506
12,70512,50.194,49.806,3.014,1.5
13,105852,50.079,49.921,3.0,1.496
14,158533,50.091,49.909,2.992,1.496
15,236711,49.978,50.022,2.99,0.0
