1,300,47.667,52.333,3.294,1.595
2,471,50.318,49.682,2.825,1.383
3,661,49.319,50.681,3.12,1.525
4,1017,48.378,51.622,3.041,1.481
5,1496,50.869,49.131,2.943,1.473
6,2163,50.162,49.838,3.036,1.486
7,3273,50.901,49.099,3.022,1.516
8,4856,49.794,50.206,3.031,1.51
9,7329,49.966,50.034,3.034,1.503
10,11110,50.198,49.802,2.953,1.479
11,16338,50.288,49.712,3.016,1.489
12,24493,49.655,50.345,3.032,1.504
13,36880,50.396,49.604,2.994,1.499
14,54777,49.957,50.043,3.013,1.503
15,82443,49.987,50.013,2.981,0.0
