1,900,47.444,52.556,2.958,1.476
2,1263,48.773,51.227,3.218,1.56
3,1982,49.697,50.303,2.961,1.434
4,2917,51.526,48.474,3.002,1.49
5,4245,49.376,50.624,2.99,1.476
6,6268,50.447,49.553,3.032,1.501
7,9418,50.17,49.83,3.03,1.526
8,14220,49.726,50.274,3.053,1.501
9,21585,50.456,49.544,3.02,1.502
10,32296,49.793,50.207,3.016,1.509
11,48493,49.96,50.04,2.989,1.492
12,72416,49.961,50.039,2.995,1.488
13,108357,49.509,50.491,3.015,1.496
14,161721,49.848,50.152,2.995,1.497
15,241452,49.889,50.111,3.008,0.0
