1,800,47.75,52.25,2.976,1.466
2,1137,49.252,50.748,2.998,1.451
3,1679,50.625,49.375,2.97,1.519
4,2462,50.447,49.553,3.116,1.485
5,3801,51.75,48.25,3.015,1.468
6,5530,48.608,51.392,3.029,1.465
7,8142,48.968,51.032,2.988,1.5
8,11914,50.218,49.782,2.962,1.459
9,17570,49.425,50.575,3.002,1.507
10,26068,49.996,50.004,2.989,1.489
11,38954,50.295,49.705,3.015,1.504
12,58383,49.941,50.059,2.994,1.499
13,87305,50.021,49.979,3.007,1.497
14,131200,49.848,50.152,3.005,1.501
15,196543,50.026,49.974,2.998,0.0
