1,1000,50.4,49.6,3.073,1.458
2,1524,52.297,47.703,3.12,1.539
3,2268,49.868,50.132,2.973,1.497
4,3363,49.866,50.134,3.048,1.475
5,5111,51.379,48.621,2.96,1.485
6,7356,50.245,49.755,3.041,1.485
7,11129,49.735,50.265,2.985,1.496
8,16523,50.166,49.834,3.008,1.495
9,24769,49.372,50.628,3.02,1.502
10,36930,50.485,49.515,3.013,1.499
11,55087,50.023,49.977,3.015,1.5
12,82999,50.145,49.855,2.994,1.493
13,123906,49.949,50.051,3.005,1.505
14,185965,50.013,49.987,3.002,1.499
15,279068,49.986,50.014,3.007,0.0
