1,700,50.714,49.286,2.954,1.455
2,1019,49.362,50.638,2.92,1.471
3,1469,48.877,51.123,3.045,1.482
4,2186,50.915,49.085,3.008,1.509
5,3228,50.186,49.814,3.055,1.491
6,4912,50.611,49.389,3.062,1.522
7,7429,50.195,49.805,3.037,1.517
8,11238,50.044,49.956,3.025,1.499
9,16982,50.006,49.994,2.97,1.487
10,25216,49.754,50.246,2.964,1.475
11,37188,49.788,50.212,2.984,1.488
12,55250,49.649,50.351,3.003,1.498
13,82362,50.067,49.933,3.003,1.499
14,123486,50.106,49.894,3.007,1.503
15,185270,49.933,50.067,3.011,0.0
